01.31-7,Cultivo de frutas cítricas
01.32-5,Cultivo de café
01.33-3,Cultivo de cacau
01.34-1,Cultivo de uva
01.39-2,Cultivo de outros produtos de lavoura permanente
01.41-4	Criação de bovinos
75.23-0	Justiça
75.24-8	Segurança e ordem pública
75.25-6	Defesa Civil
75.30-2	Seguridade social
80.11-0	Educação pré-escolar
80.12-8	Educação fundamental
80.21-7	Educação média de formação geral
80.22-5	Educação média de formação técnica e profissional
80.30-6	Educação superior
80.91-8	Ensino em auto-escolas e cursos de pilotagem
80.92-6	Educação supletiva
80.93-4	Educação continuada ou permanente e aprendizagem profissional
80.94-2	Ensino à distância
80.95-0	Educação especial
85.11-1	Atividades de atendimento hospitalar
85.12-0	Atividades de atendimento a urgências e emergências
85.13-8	Atividades de atenção ambulatorial
85.14-6	Atividades de serviços de complementação diagnóstica ou terapêutica
85.15-4	Atividades de outros profissionais da área de saúde
85.16-2	Outras atividades relacionadas com a atenção à saúde
85.20-0	Serviços veterinários
85.31-6	Serviços sociais com alojamento
85.32-4	Serviços sociais sem alojamento
90.00-0	Limpeza urbana e esgoto; e atividades conexas
91.11-1	Atividades de organizações empresariais e patronais
91.12-0	Atividades de organizações profissionais
91.20-0	Atividades de organizações sindicais
91.91-0	Atividades de organizações religiosas
91.92-8	Atividades de organizações políticas
91.99-5	Outras atividades associativas, não especificadas anteriormente
92.11-8	Produção de filmes cinematográficos e fitas de vídeo
92.12-6	Distribuição de filmes e de vídeos
92.13-4	Projeção de filmes e de vídeos
92.21-5	Atividades de rádio
92.22-3	Atividades de televisão
92.31-2	Atividades de teatro, música e outras atividades artísticas e literárias
92.32-0	Gestão de salas de espetáculos
92.39-8	Outras atividades de espetáculos, não especificadas anteriormente
92.40-1	Atividades de agências de notícias
92.51-7	Atividades de bibliotecas e arquivos
92.52-5	Atividades de museus e conservação do patrimônio histórico
92.53-3	Atividades de jardins botânicos, zoológicos, parques nacionais e reservas ecológicas
92.61-4	Atividades desportivas
92.62-2	Outras atividades relacionadas ao lazer
93.01-7	Lavanderias e tinturarias
93.02-5	Cabeleireiros e outros tratamentos de beleza
93.03-3	Atividades funerárias e conexas
93.04-1	Atividades de manutenção do físico corporal
93.09-2	Outras atividades de serviços pessoais, não especificadas anteriormente
95.00-1	Serviços domésticos
99.00-7	Organismos internacionais e outras instituições extraterritoriais
